year,life_expectancy,undernourishment,CO2,health_expenditure,education_expenditure,unemployment,sanitation,country_id,continent_id,income_group_id
2002,78.64146341463415,2.5,96599.9984741211,8.23378086,3.42430996894836,9.97000026702881,78.52453997,61,2,3
2002,72.929,,239.999994635582,6.1756978,,,,62,5,2
2002,67.19634146341464,,,,,,85.91056238,63,5,3
2002,68.717,19.9,10470.0002670288,6.01308298,,2.75099992752075,,64,5,2
2002,75.726,,,,,11.3900003433228,,65,4,3
2002,65.828,6.5,1620.00000476837,3.19353795,8.36553955078125,11.8100004196167,,66,3,2
2002,71.249,21.2,6090.00015258789,6.2445755,,4.01999998092651,41.42015962,67,5,1
2002,74.71731707317075,4.6,20280.0006866455,6.20509815,3.78326988220215,15.0500001907349,77.98582524,68,2,3
2002,57.655,52.6,1830.00004291534,3.40510392,,10.826000213623,,69,5,1
2002,72.34878048780489,2.5,55599.9984741211,7.12101698,5.17923021316528,5.6100001335144,63.28747808,70,2,3
2002,66.321,19.1,305640.014648438,1.98062718,2.64568996429443,6.59999990463257,,71,0,1
2002,63.304,20.1,985450.012207031,4.24016666,,5.53000020980835,9.168575044,72,0,1
2002,77.63414634146342,2.5,43930.0003051758,6.67468452,4.10487985610962,4.21999979019165,56.97816906,73,2,3
2002,68.827,21.4,91160.0036621094,,,8.85200023651123,33.92283537,74,0,2
2002,80.50243902439026,2.5,2240.00000953674,9.46551323,7.29892015457153,2.99000000953674,45.91825072,75,2,3
2002,79.45121951219512,2.5,61080.0018310547,7.13073444,6.46506023406982,12.8900003433228,81.33140721,76,0,3
2002,80.22926829268295,2.5,443470.001220703,7.86693525,4.43240976333618,9.21000003814697,95.64554881,77,2,3
2002,74.14,6.9,10250.0,4.74544334,5.37522983551025,14.1899995803833,,78,5,2
2002,72.083,7.7,16870.0008392334,9.36340237,,15.3000001907349,75.54990942,79,0,2
2002,81.56341463414634,2.5,1206599.97558594,7.35235357,3.40898990631104,5.3899998664856,73.92285411,80,0,3
2002,65.95,6.6,131059.997558594,3.61480069,3.02970004081726,9.32999992370605,,81,0,2
2002,51.606,33.6,7420.00007629395,4.95863724,6.17199993133545,2.99600005149841,,82,1,1
2002,60.283,21.2,2210.00003814697,7.23566914,1.71121001243591,1.09700000286102,,83,0,1
2002,63.731,4.6,39.9999991059303,11.9012785,,,17.57820289,84,4,1
2002,73.28,2.5,55590.0001525879,3.12468719,6.551109790802,1.10000002384186,100.0,85,0,3
2002,75.488,8.6,16840.0001525879,9.28530312,2.55271005630493,8.08800029754639,9.425466024,86,0,1
2002,52.826,38.1,449.999988079071,2.89440227,,2.14199995994568,,87,1,0
2002,71.244,,45590.0001525879,4.89009905,,19.6490001678467,24.43264366,88,1,2
2002,73.085,16.1,11390.0003433228,4.1731143,,8.76000022888184,,89,0,1
2002,44.898,18.5,409.999996423721,6.74524212,10.1004495620728,33.8600006103516,11.5308802,90,1,1
2002,71.76097560975612,2.5,11220.0002670288,6.14446115,5.80007982254028,13.0100002288818,80.44671074,91,2,3
2002,77.96585365853659,2.5,9819.99969482422,6.73847198,,2.61999988555908,90.96029066,92,2,3
2002,70.96097560975612,3.4,7349.99990463257,5.77001858,5.60254001617432,13.8299999237061,52.41175179,93,2,3
2002,69.769,5.9,37470.0012207031,4.42979431,,11.5900001525879,33.02361181,94,1,1
2002,,,,1.79035473,,,100.0,95,2,3
2002,67.362,,7179.99982833862,7.40437651,5.4979100227356,6.80000019073486,,96,2,2
2002,59.717,35.2,1120.00000476837,4.97110605,2.23179006576538,5.35400009155273,4.204318436,97,1,0
2002,71.708,,620.000004768372,8.78440094,5.79186010360718,4.18800020217896,,98,0,2
2002,74.922,3.7,386000.0,5.0716424,4.45495986938477,3.0,18.09879201,99,5,2
2002,,,119.999997317791,14.37911701,8.20897960662842,,,100,4,2
2002,73.03902439024391,7.5,8369.99988555908,8.97826958,3.30014991760254,31.9400005340576,12.91110925,101,2,2
2002,49.54,15.2,1399.99997615814,4.99772739,2.8962299823761,7.16400003433228,7.407277962,102,1,0
2002,78.73902439024391,2.5,2319.9999332428,7.70661688,4.14305019378662,6.90000009536743,91.86797469,103,2,3
2002,60.685,34.8,8300.00019073486,2.57854128,,0.671999990940094,59.24143779,104,0,1
2002,73.23726829268294,9.2,1769.99998092651,,,29.1340007781982,,105,2,2
2002,63.777,30.6,9600.00038146973,4.43462992,7.21078014373779,6.19999980926514,34.15819176,106,0,1
2002,,,,,,,,107,4,3
2002,49.61,35.2,1570.00005245209,3.34283662,,2.89199995994568,,108,1,0
2002,60.892,7.9,1549.99995231628,4.00226164,2.27714991569519,9.81999969482422,,109,1,1
2002,71.96585365853659,5.6,2609.99989509583,3.23190355,3.06089997291565,8.19999980926514,,110,1,2
2002,45.517,23.8,680.000007152557,3.77586961,,5.81300020217896,19.68720016,111,1,0
2002,72.976,2.8,136380.004882813,2.66876554,7.65792989730835,3.48000001907349,66.07066571,112,0,2
2002,50.862,14.5,2130.00011444092,9.73386574,6.7423300743103,21.2269992828369,,113,1,2
2002,51.256,,699.999988079071,4.85896921,2.40134000778198,1.88999998569489,7.256499253,114,1,0
2002,46.835,8.9,92239.9978637695,2.49064016,,3.88199996948242,21.66167444,115,1,1
2002,70.308,25.2,4059.99994277954,5.73315907,2.39101004600525,7.57800006866455,,116,5,1
2002,78.29268292682927,2.5,167429.992675781,8.64911556,4.80590009689331,2.54999995231628,97.44142874,117,2,3
2002,78.98780487804879,2.5,34369.9989318848,9.00061893,7.43729019165039,4.01999998092651,59.2291805,118,2,3
2002,63.57,21.7,2789.99996185303,3.92991233,3.15283989906311,1.5440000295639,12.91434336,119,0,1
2002,,,79.9999982118607,13.1944294,,,,120,4,3
2002,78.84634146341463,2.5,31540.0009155273,7.90045929,6.40699005126953,5.28000020980835,75.48660676,121,4,3
2002,73.022,11.3,29969.9993133545,3.18044019,4.32506990432739,4.20499992370605,,122,0,3
2002,63.3,21.8,102330.001831055,2.82704878,,0.547999978065491,,123,0,1
2002,75.401,20.5,5409.99984741211,6.96316957,4.19163990020752,3.78500008583069,,124,5,3
2002,71.882,22.9,27729.9995422363,4.93902206,2.82056999206543,4.84000015258789,14.06601551,125,3,2
2002,68.88,18.4,71569.9996948242,2.63767314,2.89222002029419,3.62599992752075,43.87050891,126,0,1
2002,,,219.999998807907,8.01948452,7.5219898223877,,,127,4,2
2002,59.722,27.0,3609.99989509583,2.77562952,,2.73399996757507,,128,4,1
2002,74.49756097560977,2.5,287320.007324219,6.0672431,5.38735008239746,19.8899993896484,80.52546174,129,2,3
2002,77.76048780487805,,,,,11.9399995803833,32.53407898,130,5,3
